group_id,group_name,platform,url,description
congdongtuvanvienbaohiem,Cộng đồng Tư vấn viên bảo hiểm,facebook,https://www.facebook.com/groups/congdongtuvanvienbaohiem/,
hoireviewbaohiem,REVIEW BẢO HIỂM,facebook,https://www.facebook.com/groups/hoireviewbaohiem/,
tuvanbaohiemnhanthovn,Hiệp Hội Tư vấn Bảo hiểm Nhân thọ Việt Nam,facebook,https://www.facebook.com/groups/tuvanbaohiemnhanthovn/,
296975261240447,REVIEW BẢO HIỂM NHÂN THỌ,facebook,https://www.facebook.com/groups/296975261240447/,
baohiemnhantho.chuyenvien,BẢO HIỂM NHÂN THỌ - Hội chuyên viên tư vấn,facebook,https://www.facebook.com/groups/baohiemnhantho.chuyenvien/,
hotrobaohiem,TƯ VẤN QUYỀN LỢI BẢO HIỂM,facebook,https://www.facebook.com/groups/hotrobaohiem/,
bvqlkhbhnt,BẢO VỆ QUYỀN LỢI KHÁCH HÀNG BẢO HIỂM NHÂN THỌ,facebook,https://www.facebook.com/groups/bvqlkhbhnt/,
boithuongbh,BỒI THƯỜNG BẢO HIỂM,facebook,https://www.facebook.com/groups/boithuongbh/,
1596589817017884,ReView Bảo Hiểm Có Tâm,facebook,https://www.facebook.com/groups/1596589817017884/,
